trigram,count
not a drug,1460
of my body,1414
my cell be,1368
part of my,1337
cell be my,1281
a part of,1251
my stem cell,1229
as a drug,1187
stem cell be,1145
be a part,1109
be my cell,1108
in any way,1053
drug they be,1045
a drug they,1028
own body be,1018
and my doctor,1004
from use my,950
use my body,950
one&#39;s own body,946
right to prevent,931
an inalienable right,931
my body in,928
be an inalienable,920
include the fda,916
to prevent i,914
any right to,911
have any right,910
body in any,900
control over one&#39;s,897
i deem acceptable,890
be able to,889
cell they be,889
over one&#39;s own,888
doctor from use,879
my doctor from,876
any way which,874
be suppose to,873
my cell they,873
way which i,869
suppose to be,867
which i deem,867
own stem cell,866
prevent i and,864
body be suppose,850
acceptable control over,835
deem acceptable control,832
of my right,819
please don&#39;t take,805
one of my,802
inalienable right please,784
be classify as,783
another one of,782
take another one,776
right please don&#39;t,770
don&#39;t take another,764
my right away,628
classify as a,605
my own body,571
my body no,557
the right to,543
one include the,529
no one include,527
body no one,517
should be able,484
stem cell as,467
of stem cell,453
my own cell,422
from my body,405
have the right,401
stem cell should,388
not be classify,382
my own stem,381
stem cell to,376
cell be not,358
my body be,355
stem cell therapy,346
my body noone,326
noone include the,326
body noone include,324
to use my,322
my body and,312
able to use,298
the use of,296
cell as a,290
please do not,287
cell should not,286
a skin graft,284
stem cell treatment,276
use my own,275
cell should be,265
consider a drug,263
belong to i,237
stem cell for,233
be take from,229
to be use,229
to use they,220
be allow to,217
cell be mine,213
stem cell and,207
cell to be,201
classify as drug,197
i want to,194
use their own,193
stem cell research,192
take from the,191
use stem cell,190
be use to,189
their own stem,187
to treat a,187
right to use,183
a drug and,183
in order to,182
come from my,181
the stem cell,174
their own body,166
be consider a,166
in the future,163
be part of,163
i believe that,163
i would like,161
to be able,157
my doctor and,156
that stem cell,156
can be use,153
should be allow,152
stem cell in,151
body they be,146
be treat as,146
cell be a,141
cell belong to,139
i see fit,134
doctor and i,133
drug and should,132
cell be take,130
be my body,129
to use their,128
reclassify stem cell,128
stem cell so,127
stem cell from,126
need to be,125
classify stem cell,125
use of stem,122
would like to,120
a drug be,120
our own body,119
be no different,119
be not drug,119
body be my,118
cell from my,115
their own cell,115
that come from,115
a right to,114
the ability to,114
the right thing,113
as drug and,112
the united states,111
my cell and,111
a drug in,110
have a right,108
for future use,108
own body they,108
part of i,108
be not consider,107
they be classify,107
cellular and tissue,105
our own stem,103
cell as drug,103
from the body,102
do the right,101
not consider a,101
my right away.<br/><br/,100
right away.<br/><br/ >,100
no different than,100
and cellular and,99
my right to,98
body be a,98
be label as,98
< br/ >,97
a medical procedure,97
use my stem,97
label as a,97
not be consider,97
as a medical,96
large number of,95
human cells tissues,94
be mine and,93
own body and,92
stem cell can,92
a drug if,92
my body my,92
to tell i,91
the patient&#39;s own,91
in my body,90
from the patient&#39;s,90
body to treat,90
able to do,89
patient&#39;s own body,89
a patient&#39;s body,89
that these cell,89
these cell should,89
